"'['||S.BUILDING_ID||']'","LATN_NAME","BUILDING_NAME"
"[11562593]","衢州市","星华路-瑞泽宾馆"
"[11562594]","衢州市","星华路-开化华阳新能源有限公司"
"[11562595]","衢州市","星华路-温馨宾馆"
"[11562596]","衢州市","星华路-之恋宾馆"
"[11562597]","衢州市","星华路-中国电信"
"[11562598]","衢州市","星华路-星口卫生院"
"[11562599]","衢州市","星华路-国家电网"
"[11562600]","衢州市","星华路-池淮镇星口村委会"
"[11562601]","衢州市","星华路-连发宾馆"
"[11562602]","衢州市","星华路-星口小学"
"[11562603]","衢州市","云山路-中国体育彩票"
"[11562604]","衢州市","云山路-中国移动"
"[11562605]","衢州市","云山路-金门大酒店宾馆"
"[11562606]","衢州市","云山路-中国农业银行"
"[11562607]","衢州市","云山路-信用社"
"[11562608]","衢州市","云山路-中国电信2"
"[11562609]","衢州市","云山路58号-国家电网"
"[11562610]","衢州市","云山路60号-村头卫生院门诊楼"
"[11562611]","衢州市","云山路62号-卫生院2"
"[11562612]","衢州市","云山路-卫生监督协管工作站"
"[11562613]","衢州市","云山路-中国邮政储蓄"
"[11562614]","衢州市","云山路-村头政府办公楼"
"[11562615]","衢州市","云山路-村头便民服务中心"
"[11562616]","衢州市","云山路-村头财政所"
"[11562617]","衢州市","崇文路-村头小学教学楼"
"[11562618]","衢州市","崇文路-村头小学教学楼2"
"[11562619]","衢州市","云山路-中国邮政"
"[11562620]","衢州市","云山路-格林箱包厂"
"[11562621]","衢州市","云山路-行政执法村头中队"
"[11562622]","衢州市","文化弄33-开化县华埠镇综合文化站"
"[11562623]","衢州市","华阳路72号-中国电信华埠营业厅"
"[11562624]","衢州市","华阳路72号-中国电信华埠支局"
"[11562625]","衢州市","华阳路53号-华埠供电所营业厅"
"[11562626]","衢州市","华阳路53号-华埠供电所办公楼"
"[11562627]","衢州市","城南中路电信后-华埠娟娟幼儿园"
"[11562628]","衢州市","彩虹路73号-新新网吧"
"[11562629]","衢州市","封家工业园区黄金北路2号-金鸿木业1幢"
"[11562630]","衢州市","封家工业园区黄金北路2号-金鸿木业2幢"
"[11562631]","衢州市","封家工业园区黄金北路2号-金鸿木业3幢"
"[11562632]","衢州市","封家工业园区黄金北路2号-金鸿木业4幢"
"[11562633]","衢州市","封家工业园区黄金北路3号-夏盛家具有限公司1幢"
"[11562634]","衢州市","封家工业园区黄金北路3号-夏盛家具有限公司2幢"
"[11562635]","衢州市","封家工业园区黄金北路3号-夏盛家具有限公司3幢"
"[11562636]","衢州市","封家工业园区1路11号-浙江典美鞋业有限公司1幢"
"[11562637]","衢州市","封家工业园区1路11号-浙江典美鞋业有限公司2幢"
"[11562638]","衢州市","封家工业园区1路-浙江诚信树脂有限公司1幢"
"[11562639]","衢州市","封家工业园区1路-浙江诚信树脂有限公司2幢"
"[11562640]","衢州市","封家工业园区黄金路2号-和艺轩公司1幢"
"[11562641]","衢州市","封家工业园区黄金路2号-和艺轩公司2幢"
"[11562642]","衢州市","封家工业园区黄金路2号-和艺轩公司3幢"
"[11562643]","衢州市","封家工业园区黄金路2号-和艺轩公司4幢"
"[11562644]","衢州市","封家工业园区黄金路2路-浙江升龙纺织科技有限公司1幢"
"[11562645]","衢州市","封家工业园区黄金路2路-浙江升龙纺织科技有限公司2幢"
"[11562646]","衢州市","封家工业园区黄金路2路-何氏模具有限公司1幢"
"[11562647]","衢州市","封家工业园区黄金路2路-何氏模具有限公司2幢"
"[11562648]","衢州市","封家工业园区黄金路2路-浙江恒衡汽车配件制造有限公司1幢"
"[11562649]","衢州市","封家工业园区黄金路2路-浙江恒衡汽车配件制造有限公司2幢"
"[11562650]","衢州市","封家工业园区黄金路2路-浙江恒衡汽车配件制造有限公司3幢"
"[11562651]","衢州市","封家工业园区黄金路2路1号-德源装饰材料有限公司1幢"
"[11562652]","衢州市","封家工业园区黄金路2路1号-德源装饰材料有限公司2幢"
"[11562653]","衢州市","封家工业园区黄金北路-古田山饮品1幢"
"[11562654]","衢州市","封家工业园区黄金北路-古田山饮品2幢"
"[11562655]","衢州市","封家工业园区黄金北路-古田山饮品3幢"
"[11562656]","衢州市","封家工业园区黄金北路-古田山饮品4幢"
"[11562657]","衢州市","封家工业园区黄金北路-古田山饮品5幢"
"[11562658]","衢州市","封家工业园区黄金北路-古田山饮品6幢"
"[11562659]","衢州市","封家工业园区黄金北路-古田山饮品7幢"
"[11562660]","衢州市","封家工业园区黄金北路-古田山饮品8幢"
"[11562661]","衢州市","封家工业园区黄金北路-古田山饮品9幢"
"[11562662]","衢州市","封家工业园区黄金北路-古田山饮品10幢"
"[11562663]","衢州市","封家工业园区黄金北路-古田山饮品11幢"
"[11562664]","衢州市","封家工业园区黄金北路-古田山饮品12幢"
"[11562665]","衢州市","封家工业园区黄金北路-古田山饮品13幢"
"[11562666]","衢州市","封家工业园区黄金北路-古田山饮品14幢"
"[11562667]","衢州市","封家工业园区黄金北路-古田山饮品15幢"
"[11562668]","衢州市","封家工业园区黄金北路-兴达活性炭厂1幢"
"[11562669]","衢州市","封家工业园区黄金北路-兴达活性炭厂2幢"
"[11562670]","衢州市","封家工业园区黄金北路-兴达活性炭厂3幢"
"[11562671]","衢州市","封家工业园区黄金北路-兴达活性炭厂4幢"
"[11562672]","衢州市","封家工业园区黄金北路-兴达活性炭厂5幢"
"[11562673]","衢州市","封家工业园区黄金北路-兴达活性炭厂6幢"
"[11562674]","衢州市","封家工业园区黄金北路-浙江风云玩具厂1幢"
